Date,Open,Close,Highest,Lowest
2014-03-07,18.9675,18.94428575,18.99928575,18.7875
2014-03-10,18.87,18.9614285,19.0475,18.8692535
2014-03-11,19.12321425,19.1460715,19.24071425,19.0210715
2014-03-12,19.09,19.16464275,19.1910715,19.0
2014-03-13,19.1939285,18.95178575,19.2735715,18.8985715
2014-03-14,18.88535725,18.7389285,18.96035725,18.6785715
2014-03-17,18.8264285,18.81214275,18.9275,18.78035725
2014-03-18,18.78535725,18.9785715,18.9989285,18.7571465
2014-03-19,19.01,18.9735715,19.1514285,18.89285725
2014-03-20,18.92464275,18.88214275,19.0239285,18.8339285
2014-03-21,18.9975,19.0310715,19.0625,18.7975
2014-03-24,19.2285715,19.25678575,19.3035715,19.10928575
2014-03-25,19.34071425,19.4639285,19.4910715,19.2710715
2014-03-26,19.5185715,19.27785725,19.60714275,19.245
2014-03-27,19.28214275,19.195,19.33928575,19.11143225
2014-03-28,19.22571425,19.1735715,19.2478535,19.08035725
2014-03-31,19.25821425,19.16928575,19.31464275,19.14035725
2014-04-01,19.20571425,19.34464275,19.3525,19.17035725
2014-04-02,19.37071425,19.37678575,19.41,19.295
2014-04-03,19.33535725,19.2425,19.375,19.2014285
2014-04-04,19.2789285,18.9935715,19.28571425,18.94928575
2014-04-07,18.85785725,18.69535725,18.96071425,18.6389285
2014-04-08,18.75678575,18.69428575,18.79,18.5250035
2014-04-09,18.66571425,18.94,18.9460715,18.6435715
2014-04-10,18.95285725,18.69571425,19.0085715,18.68464275
2014-04-11,18.53571425,18.5575,18.6725,18.46928575
2014-04-14,18.63928575,18.6314285,18.6485715,18.47178575
2014-04-15,18.5810715,18.49856775,18.63,18.26178575
2014-04-16,18.50178575,18.5360715,18.61035725,18.3619785
2014-04-17,18.57678575,18.74785725,18.8485715,18.54285725
2014-04-21,18.75928575,18.97035725,19.005,18.71285725
2014-04-22,18.86821425,18.98925,18.99378575,18.80360725
2014-04-23,18.895,18.7410715,18.9689285,18.73035725
2014-04-24,20.29321425,20.2775,20.35714275,20.0260715
2014-04-25,20.145,20.4264285,20.42821425,20.1414285
2014-04-28,20.45714275,21.2175,21.27678575,20.44821425
2014-04-29,21.205,21.15464275,21.285,21.0539285
2014-04-30,21.16571425,21.07285725,21.40821425,21.06428575
2014-05-01,21.14285725,21.12428575,21.24285725,20.9414285
2014-05-02,21.15464275,21.1635715,21.2214285,21.0610715
2014-05-05,21.0764285,21.46285725,21.46428575,21.0714285
2014-05-06,21.49285725,21.2289285,21.58606775,21.2289285
2014-05-07,21.2589285,21.15464275,21.33178575,20.99035725
2014-05-08,21.0235715,20.99964275,21.2289285,20.94285725
2014-05-09,20.8764285,20.91223225,20.9375,20.7260715
2014-05-12,20.98178575,21.1725,21.20214275,20.9785715
