Date,Open,High,Low,Close,Adj Close,Volume,company_name,daily_weighted_avg
2022-03-01,164.6999969482422,166.60000610351562,161.97000122070312,163.1999969482422,161.35604858398438,83474400,APPLE Inc,-0.27746
2022-03-02,164.38999938964844,167.36000061035156,162.9499969482422,166.55999755859375,164.6781005859375,79724800,APPLE Inc,-0.43884488235294117
2022-03-03,168.47000122070312,168.91000366210938,165.5500030517578,166.22999572753906,164.35183715820312,76678400,APPLE Inc,-0.20438614285714282
2022-03-04,164.49000549316406,165.5500030517578,162.10000610351562,163.1699981689453,161.32640075683594,83737200,APPLE Inc,0.04104985714285714
2022-03-05,163.36000061035156,165.02000427246094,159.0399932861328,159.3000030517578,157.50013732910156,96418800,APPLE Inc,-0.03886345454545454
2022-03-06,158.82000732421875,162.8800048828125,155.8000030517578,157.44000244140625,155.6611328125,131148300,APPLE Inc,0.07514166666666666
2022-03-07,161.47999572753906,163.41000366210938,159.41000366210938,162.9499969482422,161.10888671875,91454900,APPLE Inc,-0.022204478260869572
2022-03-08,160.1999969482422,160.38999938964844,155.97999572753906,158.52000427246094,156.7289581298828,105342000,APPLE Inc,-0.004395723404255322
2022-03-09,158.92999267578125,159.27999877929688,154.5,154.72999572753906,152.9817657470703,96970100,APPLE Inc,-0.03388635652173913
2022-03-10,151.4499969482422,154.1199951171875,150.10000610351562,150.6199951171875,148.918212890625,108732100,APPLE Inc,-0.10359241726618705
2022-03-11,150.89999389648438,155.57000732421875,150.3800048828125,155.08999633789062,153.33770751953125,92964300,APPLE Inc,0.017243416666666664
2022-03-12,157.0500030517578,160.0,154.4600067138672,159.58999633789062,157.786865234375,102300200,APPLE Inc,-0.026701571428571436
2022-03-13,158.61000061035156,161.0,157.6300048828125,160.6199951171875,158.80523681640625,75615400,APPLE Inc,0.010155
2022-03-14,160.50999450683594,164.47999572753906,159.75999450683594,163.97999572753906,162.12725830078125,123511700,APPLE Inc,-0.13476838759689921
2022-03-15,163.50999450683594,166.35000610351562,163.00999450683594,165.3800048828125,163.51145935058594,95811400,APPLE Inc,-0.06844984337349398
2022-03-16,165.50999450683594,169.4199981689453,164.91000366210938,168.82000732421875,166.91258239746094,81532000,APPLE Inc,-0.013014909090909096
2022-03-17,167.99000549316406,172.63999938964844,167.64999389648438,170.2100067138672,168.28688049316406,98062700,APPLE Inc,-0.061019056603773575
2022-03-18,171.05999755859375,174.13999938964844,170.2100067138672,174.07000732421875,172.10325622558594,90131400,APPLE Inc,0.032199512820512824
2022-03-19,173.8800048828125,175.27999877929688,172.75,174.72000122070312,172.7459259033203,80546200,APPLE Inc,-0.018239542857142854
2022-03-20,172.1699981689453,175.72999572753906,172.0,175.60000610351562,173.615966796875,90371900,APPLE Inc,-0.025317250000000006
2022-03-21,176.69000244140625,179.00999450683594,176.33999633789062,178.9600067138672,176.93801879882812,100589400,APPLE Inc,-0.0572845576923077
2022-03-22,178.5500030517578,179.61000061035156,176.6999969482422,177.77000427246094,175.761474609375,92633200,APPLE Inc,0.004692769230769229
2022-03-23,177.83999633789062,178.02999877929688,174.39999389648438,174.61000061035156,172.6371612548828,103049300,APPLE Inc,0.001950594059405943
2022-03-24,174.02999877929688,174.8800048828125,171.94000244140625,174.30999755859375,172.3405303955078,78751300,APPLE Inc,-0.006490720000000002
2022-03-25,174.57000732421875,178.49000549316406,174.44000244140625,178.44000244140625,176.42388916015625,76468400,APPLE Inc,-0.07912155000000001
2022-04-01,177.5,178.3000030517578,174.4199981689453,175.05999755859375,173.08204650878906,73401800,APPLE Inc,-0.00017836633663366835
2022-04-02,172.36000061035156,173.6300048828125,170.1300048828125,171.8300018310547,169.8885498046875,89058800,APPLE Inc,-0.026068888888888895
2022-04-03,171.16000366210938,173.36000061035156,169.85000610351562,172.13999938964844,170.195068359375,77594700,APPLE Inc,0.04290166666666668
2022-04-04,171.77999877929688,171.77999877929688,169.1999969482422,170.08999633789062,168.16822814941406,76575500,APPLE Inc,0.013509948717948719
2022-04-05,168.7100067138672,169.02999877929688,165.5,165.75,163.8772430419922,72246700,APPLE Inc,-0.005372724137931034
2022-04-06,168.02000427246094,169.8699951171875,166.63999938964844,167.66000366210938,165.7656707763672,79265200,APPLE Inc,-0.025771562500000008
2022-04-07,167.38999938964844,171.0399932861328,166.77000427246094,170.39999389648438,168.4747314453125,70618900,APPLE Inc,-0.051590027777777776
2022-04-08,170.6199951171875,171.27000427246094,165.0399932861328,165.2899932861328,163.42247009277344,75329400,APPLE Inc,-0.0452373125
2022-04-09,163.9199981689453,166.60000610351562,163.57000732421875,165.07000732421875,163.20494079589844,69023900,APPLE Inc,-0.008917888888888895
2022-04-10,165.02000427246094,167.82000732421875,163.91000366210938,167.39999389648438,165.5086212158203,67723800,APPLE Inc,-0.062888
2022-04-11,168.75999450683594,168.8800048828125,166.10000610351562,167.22999572753906,165.34051513671875,67929800,APPLE Inc,-0.06503706060606061
2022-04-12,168.91000366210938,171.52999877929688,165.91000366210938,166.4199981689453,164.53968811035156,87227800,APPLE Inc,-0.11991925203252032
2022-04-13,166.4600067138672,167.8699951171875,161.5,161.7899932861328,159.96200561523438,84882400,APPLE Inc,0.009087027027027027
2022-04-14,161.1199951171875,163.1699981689453,158.4600067138672,162.8800048828125,161.03968811035156,96046400,APPLE Inc,-0.06102522727272728
2022-04-15,162.25,162.33999633789062,156.72000122070312,156.8000030517578,155.0283966064453,95623200,APPLE Inc,-0.15539918367346942
2022-04-16,155.91000366210938,159.7899932861328,155.3800048828125,156.57000732421875,154.80096435546875,88063200,APPLE Inc,-0.4810915652173912
2022-04-17,159.25,164.52000427246094,158.92999267578125,163.63999938964844,161.7910919189453,130216800,APPLE Inc,0.026981666666666664
2022-04-18,161.83999633789062,166.1999969482422,157.25,157.64999389648438,155.86875915527344,131747600,APPLE Inc,-0.07591048717948719
2022-04-19,156.7100067138672,158.22999572753906,153.27000427246094,157.9600067138672,156.17527770996094,123055300,APPLE Inc,-0.043033605263157894
2022-04-20,158.14999389648438,160.7100067138672,156.32000732421875,159.47999572753906,157.6781005859375,88966500,APPLE Inc,-0.06171883333333333
2022-04-21,159.6699981689453,166.47999572753906,159.25999450683594,166.02000427246094,164.1442108154297,108256500,APPLE Inc,-0.02626767741935484
2022-04-22,163.85000610351562,164.0800018310547,154.9499969482422,156.77000427246094,154.99871826171875,130525300,APPLE Inc,-0.04373257142857142
2022-04-23,156.00999450683594,159.44000244140625,154.17999267578125,157.27999877929688,155.73143005371094,116124600,APPLE Inc,-0.006043055555555558
2022-04-24,154.92999267578125,155.8300018310547,151.49000549316406,152.05999755859375,150.56280517578125,131577900,APPLE Inc,-0.04937868
2022-04-25,155.52000427246094,156.74000549316406,152.92999267578125,154.50999450683594,152.98870849609375,115366700,APPLE Inc,-0.1347456
2022-05-01,153.5,155.4499969482422,145.80999755859375,146.5,145.0575714111328,142689800,APPLE Inc,-0.081367
2022-05-02,142.77000427246094,146.1999969482422,138.8000030517578,142.55999755859375,141.1563720703125,182602000,APPLE Inc,-0.14161419298245614
2022-05-03,144.58999633789062,148.10000610351562,143.11000061035156,147.11000061035156,145.6615753173828,113990900,APPLE Inc,-0.07654711904761904
2022-05-04,145.5500030517578,147.52000427246094,144.17999267578125,145.5399932861328,144.1070098876953,86643800,APPLE Inc,-0.001331215384615382
2022-05-05,148.86000061035156,149.77000427246094,146.67999267578125,149.24000549316406,147.77061462402344,78336300,APPLE Inc,-0.1177000888888889
2022-05-06,146.85000610351562,147.36000061035156,139.89999389648438,140.82000732421875,139.4335174560547,109742900,APPLE Inc,-0.0834973698630137
2022-05-07,139.8800048828125,141.66000366210938,136.60000610351562,137.35000610351562,135.99766540527344,136095600,APPLE Inc,-0.039543400000000006
2022-05-08,139.08999633789062,140.6999969482422,132.61000061035156,137.58999633789062,136.2353057861328,137426100,APPLE Inc,0.027954000000000014
2022-05-09,137.7899932861328,143.25999450683594,137.64999389648438,143.11000061035156,141.7009735107422,117726300,APPLE Inc,-0.12116408849557522
2022-05-10,140.80999755859375,141.97000122070312,137.3300018310547,140.36000061035156,138.97801208496094,104132700,APPLE Inc,-0.10732131818181818
2022-05-11,138.42999267578125,141.7899932861328,138.33999633789062,140.52000427246094,139.13645935058594,92482700,APPLE Inc,-0.05327224752475248
2022-05-12,137.38999938964844,144.33999633789062,137.13999938964844,143.77999877929688,142.36434936523438,90601500,APPLE Inc,-0.1317251699346405
2022-05-13,145.38999938964844,149.67999267578125,145.25999450683594,149.63999938964844,148.16665649414062,90978500,APPLE Inc,-0.038285651162790695
2022-05-14,149.07000732421875,150.66000366210938,146.83999633789062,148.83999633789062,147.37452697753906,103718400,APPLE Inc,-0.14399914285714283
2022-05-15,149.89999389648438,151.74000549316406,147.67999267578125,148.7100067138672,147.2458038330078,74286600,APPLE Inc,-0.05873916216216216
2022-05-16,147.8300018310547,151.27000427246094,146.86000061035156,151.2100067138672,149.72119140625,72348100,APPLE Inc,-0.07009438888888889
2022-05-17,146.89999389648438,147.97000122070312,144.4600067138672,145.3800048828125,143.94859313964844,88570300,APPLE Inc,-0.044358369565217395
2022-05-18,147.02999877929688,148.57000732421875,144.89999389648438,146.13999938964844,144.7010955810547,71598400,APPLE Inc,-0.1000985
2022-05-19,144.35000610351562,149.0,144.10000610351562,148.7100067138672,147.2458038330078,67808200,APPLE Inc,-0.1383891224489796
2022-05-20,148.5800018310547,149.8699951171875,147.4600067138672,147.9600067138672,146.50318908691406,53950200,APPLE Inc,-0.11253723157894738
2022-05-21,147.0800018310547,147.9499969482422,142.52999877929688,142.63999938964844,141.23558044433594,69473000,APPLE Inc,-0.050419
2022-05-22,140.27999877929688,140.75999450683594,137.05999755859375,137.1300048828125,135.7798309326172,91437900,APPLE Inc,-0.045622923076923075
2022-05-23,132.8699951171875,135.1999969482422,131.44000244140625,131.8800048828125,130.58151245117188,122207100,APPLE Inc,-0.0425343962264151
2022-06-01,133.1300048828125,133.88999938964844,131.47999572753906,132.75999450683594,131.45285034179688,84784300,APPLE Inc,-0.029041115384615387
2022-06-02,134.2899932861328,137.33999633789062,132.16000366210938,135.42999267578125,134.09657287597656,91533000,APPLE Inc,-0.060251068965517254
2022-06-03,132.0800018310547,132.38999938964844,129.0399932861328,130.05999755859375,128.7794189453125,108123900,APPLE Inc,-0.0980784411764706
2022-06-04,130.07000732421875,133.0800018310547,129.80999755859375,131.55999755859375,130.2646484375,134520300,APPLE Inc,-0.13590349999999998
2022-06-05,133.4199981689453,137.05999755859375,133.32000732421875,135.8699951171875,134.53221130371094,81000500,APPLE Inc,-0.025610750000000005
2022-06-06,134.7899932861328,137.75999450683594,133.91000366210938,135.35000610351562,134.01734924316406,73409200,APPLE Inc,-0.04115315873015873
2022-06-07,136.82000732421875,138.58999633789062,135.6300048828125,138.27000427246094,136.90859985351562,72433800,APPLE Inc,-0.04926229670329671
