date,daily_weighted_avg,Category
20220824,0.15552443999999999,APPLE Inc
20220825,0.13432060869565215,APPLE Inc
20220826,0.12856474193548387,APPLE Inc
20220901,0.10075189690721649,APPLE Inc
20220902,0.06011882191780822,APPLE Inc
20220903,0.1276963333333333,APPLE Inc
20220904,0.1437077,APPLE Inc
20220905,0.1560625,APPLE Inc
20220906,0.08577691999999999,APPLE Inc
20220907,0.08749562608695652,APPLE Inc
20220908,0.11759122727272726,APPLE Inc
20220909,0.15081465517241383,APPLE Inc
20220910,0.117056,APPLE Inc
20220911,0.125469,APPLE Inc
20220912,0.13588455555555554,APPLE Inc
20220913,0.13256723809523813,APPLE Inc
20220914,0.09995719999999998,APPLE Inc
20220915,0.18317379999999997,APPLE Inc
20220916,0.10555074999999998,APPLE Inc
20220917,0.11216533333333333,APPLE Inc
20220918,0.02591141666666667,APPLE Inc
20220919,0.054329236842105263,APPLE Inc
20220920,0.07942573684210527,APPLE Inc
20220921,0.13589306779661012,APPLE Inc
20220922,0.05240072566371682,APPLE Inc
20220923,0.005028925925925927,APPLE Inc
20220924,0.050839199999999994,APPLE Inc
20220925,0.14246983333333332,APPLE Inc
20220926,0.195392,APPLE Inc
20221001,0.18875152173913043,APPLE Inc
20221002,0.11288468421052632,APPLE Inc
20221003,0.07826661111111112,APPLE Inc
20221004,0.12386919101123595,APPLE Inc
20221005,0.11413231914893615,APPLE Inc
20221006,0.08366142424242425,APPLE Inc
20221007,0.030043478260869567,APPLE Inc
20221008,0.15035925,APPLE Inc
20221009,0.15957883333333336,APPLE Inc
20221010,0.03536441025641025,APPLE Inc
20221011,0.04837286274509804,APPLE Inc
20221012,0.13444013636363636,APPLE Inc
20221013,0.08292066019417477,APPLE Inc
20221014,0.14385746875,APPLE Inc
20221015,0.14260353333333334,APPLE Inc
20221016,0.09612608333333332,APPLE Inc
20221017,0.10400337288135594,APPLE Inc
20221018,0.11310048591549297,APPLE Inc
20221019,0.047208013513513516,APPLE Inc
20221020,0.05588155294117647,APPLE Inc
20221021,0.07889264948453609,APPLE Inc
20221022,0.08928247826086957,APPLE Inc
20221023,-0.05341630769230768,APPLE Inc
20221024,0.119813,APPLE Inc
20221101,0.03985104347826085,APPLE Inc
20221102,-0.0018269729729729735,APPLE Inc
20221103,0.005607408163265311,APPLE Inc
20221104,0.08890432631578948,APPLE Inc
20221105,0.12656316666666667,APPLE Inc
20221106,0.10483372727272727,APPLE Inc
20221107,-0.01229269411764706,APPLE Inc
20221108,0.06151053333333333,APPLE Inc
20221109,0.06742978260869566,APPLE Inc
20221110,0.042382377358490556,APPLE Inc
20221111,0.05052086597938145,APPLE Inc
20221112,-0.03257136842105262,APPLE Inc
20221113,0.21093062499999998,APPLE Inc
20221114,0.04418067391304348,APPLE Inc
20221115,0.0743664659090909,APPLE Inc
20221116,0.12966875,APPLE Inc
20221117,0.03907228723404254,APPLE Inc
20221118,0.12780300000000003,APPLE Inc
20221119,-0.037356866666666676,APPLE Inc
20221120,0.10317399999999999,APPLE Inc
20221121,0.07192297560975609,APPLE Inc
20221122,0.1626383448275862,APPLE Inc
20221123,0.076972325,APPLE Inc
20221124,0.04063458823529412,APPLE Inc
20221125,0.07868489285714286,APPLE Inc
20221201,0.006830495238095244,APPLE Inc
20221202,0.13386816438356164,APPLE Inc
20221203,0.1129122432432433,APPLE Inc
20221204,0.07855736363636363,APPLE Inc
20221205,0.08529869230769231,APPLE Inc
20221206,0.09816117741935484,APPLE Inc
20221207,0.06008728682170543,APPLE Inc
20221208,0.03774471153846154,APPLE Inc
20221209,0.09905191836734696,APPLE Inc
20221210,0.07580111111111112,APPLE Inc
20221211,0.03759111111111111,APPLE Inc
20221212,0.09654564285714284,APPLE Inc
20221213,0.12388185714285714,APPLE Inc
20221214,0.12145,APPLE Inc
20221215,0.07413813793103448,APPLE Inc
20221216,0.0797619375,APPLE Inc
20221217,0.06916744000000001,APPLE Inc
20221218,0.005690947368421052,APPLE Inc
20221219,0.03922720000000002,APPLE Inc
20221220,0.04295419354838709,APPLE Inc
20221221,0.1501963650793651,APPLE Inc
20221222,0.07183863043478261,APPLE Inc
20221223,0.1089899090909091,APPLE Inc
20221224,0.14791016666666668,APPLE Inc
20221225,0.17716633333333331,APPLE Inc
20221226,0.11015427272727273,APPLE Inc
20221227,0.12398090361445782,APPLE Inc
20221228,0.09163853571428572,APPLE Inc
20230101,0.3055058333333333,APPLE Inc
20230102,0.15883545945945943,APPLE Inc
20230103,0.09704055263157894,APPLE Inc
20230104,0.024165344262295083,APPLE Inc
20230105,0.04270651351351351,APPLE Inc
20230106,0.10949689411764706,APPLE Inc
20230107,0.06411583333333333,APPLE Inc
20230108,0.1469675,APPLE Inc
20230109,0.12070837142857142,APPLE Inc
20230110,0.11183697916666664,APPLE Inc
20230111,0.09541759183673469,APPLE Inc
20230112,0.06421993506493505,APPLE Inc
20230113,0.09501173195876289,APPLE Inc
20230114,0.1435712857142857,APPLE Inc
20230115,0.017099124999999993,APPLE Inc
20230116,0.09220284210526317,APPLE Inc
20230117,0.16800524657534244,APPLE Inc
20230118,0.10861689090909092,APPLE Inc
20230119,0.05455026,APPLE Inc
20230120,0.1496748181818182,APPLE Inc
20230121,0.15484514285714285,APPLE Inc
20230122,0.25624042857142854,APPLE Inc
20230123,0.13263942574257426,APPLE Inc
20230124,0.0829502,APPLE Inc
20230125,0.14119258333333332,APPLE Inc
20230126,0.16913814285714285,APPLE Inc
20230201,0.10636484210526316,APPLE Inc
20230202,0.06313513846153847,APPLE Inc
20230203,0.04751267525773195,APPLE Inc
20230204,0.0653554,APPLE Inc
20230205,0.13304305555555557,APPLE Inc
20230206,0.11641002380952381,APPLE Inc
20230207,0.0846997672413793,APPLE Inc
20230208,0.13458053424657532,APPLE Inc
20230209,0.12920409523809523,APPLE Inc
20230210,0.12329619480519478,APPLE Inc
20230211,0.147449,APPLE Inc
20230212,0.09980970967741937,APPLE Inc
20230213,0.17781070833333334,APPLE Inc
20230214,0.11625684810126583,APPLE Inc
20230215,0.1343980181818182,APPLE Inc
20230216,0.09522238028169014,APPLE Inc
20230217,0.17703873846153845,APPLE Inc
20230218,0.15990789473684208,APPLE Inc
20230219,0.10345,APPLE Inc
20230220,-0.016692285714285715,APPLE Inc
20230221,0.11526213636363636,APPLE Inc
20230222,0.11895695454545452,APPLE Inc
20230223,0.1386449090909091,APPLE Inc
20230224,0.11843595238095238,APPLE Inc
20230225,0.1179785625,APPLE Inc
20230226,0.11526841666666665,APPLE Inc
20230227,0.15850119999999998,APPLE Inc
20230228,0.11534829411764705,APPLE Inc
20230301,0.10478241176470589,APPLE Inc
20230302,0.07848775,APPLE Inc
20230303,0.06101334545454546,APPLE Inc
20230304,0.19600606060606063,APPLE Inc
20230305,0.12545036363636364,APPLE Inc
20230306,0.1857774761904762,APPLE Inc
20230307,0.14501173333333334,APPLE Inc
20230308,0.12081556,APPLE Inc
20230309,0.14483229761904762,APPLE Inc
20230310,0.1064375,APPLE Inc
20230311,0.21806957142857142,APPLE Inc
20230312,0.20922017391304346,APPLE Inc
20230313,0.1543603333333333,APPLE Inc
20230314,0.12179144067796609,APPLE Inc
20230315,0.14492690196078434,APPLE Inc
20230316,0.08258022115384617,APPLE Inc
20230317,0.17081536842105263,APPLE Inc
20230318,0.2929713333333333,APPLE Inc
20230319,0.094673,APPLE Inc
20230320,0.06370424999999999,APPLE Inc
20230321,0.19684033333333337,APPLE Inc
20230322,0.13591624137931033,APPLE Inc
20230323,0.12032134146341464,APPLE Inc
20230324,0.16553843333333337,APPLE Inc
20230325,0.1261337,APPLE Inc
20230326,0.1795344285714286,APPLE Inc
20230327,0.13012533333333332,APPLE Inc
20230328,0.07332638095238095,APPLE Inc
20230329,0.12226478378378376,APPLE Inc
20230330,0.11040705882352941,APPLE Inc
20230331,0.13014242857142858,APPLE Inc
20230401,0.09491216666666669,APPLE Inc
20230402,0.025305666666666667,APPLE Inc
20230403,0.13697485714285715,APPLE Inc
20230404,0.10682899999999998,APPLE Inc
20230405,0.09409246534653462,APPLE Inc
20230406,0.08005156666666666,APPLE Inc
20230407,0.09288863636363635,APPLE Inc
20230408,0.19370099999999998,APPLE Inc
20230409,0.10573872727272728,APPLE Inc
20230410,0.04237868292682927,APPLE Inc
20230411,0.11677222500000002,APPLE Inc
20230412,0.1184728076923077,APPLE Inc
20230413,0.07946535135135133,APPLE Inc
20230414,0.14445621739130435,APPLE Inc
20230415,0.08056900000000002,APPLE Inc
20230416,0.13969935714285714,APPLE Inc
20230417,0.13458929787234042,APPLE Inc
20230418,0.12592022330097086,APPLE Inc
20230419,0.15787477647058823,APPLE Inc
20230420,0.10196589655172414,APPLE Inc
20230421,0.12191450000000001,APPLE Inc
20230422,0.16531173333333332,APPLE Inc
20230423,0.11288766666666666,APPLE Inc
20230424,0.09318975609756099,APPLE Inc
20230425,0.10694436842105264,APPLE Inc
20230426,0.15280955555555553,APPLE Inc
20230427,0.1558176,APPLE Inc
20230428,0.11604394642857141,APPLE Inc
20230429,0.0991668,APPLE Inc
20230430,0.06339285185185185,APPLE Inc
20230501,0.10039265853658537,APPLE Inc
20230502,0.1220969718309859,APPLE Inc
20230503,0.059305821917808206,APPLE Inc
20230504,0.046594293706293706,APPLE Inc
20230505,0.14245912121212126,APPLE Inc
20230506,0.18107964,APPLE Inc
20230507,0.07146522580645162,APPLE Inc
20230508,0.07864319512195121,APPLE Inc
20230509,0.17442709090909087,APPLE Inc
20230510,0.13211377777777777,APPLE Inc
20230511,0.14273319047619049,APPLE Inc
20230512,0.08510969230769232,APPLE Inc
20230513,0.13439316666666665,APPLE Inc
20230514,0.12570733333333334,APPLE Inc
20230515,0.15752532352941176,APPLE Inc
