,Date,total,new
953,2022-09-01,98863384,140237
954,2022-09-02,98931672,68288
955,2022-09-03,98943821,12149
956,2022-09-04,98951777,7956
957,2022-09-05,98985898,34121
958,2022-09-06,99101242,115344
959,2022-09-07,99227205,125963
960,2022-09-08,99341437,114232
961,2022-09-09,99445517,104080
962,2022-09-10,99456314,10797
963,2022-09-11,99465358,9044
964,2022-09-12,99535865,70507
965,2022-09-13,99619009,83144
966,2022-09-14,99723288,104279
967,2022-09-15,99814936,91648
968,2022-09-16,99876105,61169
969,2022-09-17,99885290,9185
970,2022-09-18,99891241,5951
971,2022-09-19,99947516,56275
972,2022-09-20,100020910,73394
973,2022-09-21,100121374,100464
974,2022-09-22,100209929,88555
975,2022-09-23,100296276,86347
976,2022-09-24,100306767,10491
977,2022-09-25,100314133,7366
978,2022-09-26,100360310,46177
979,2022-09-27,100424546,64236
980,2022-09-28,100513755,89209
981,2022-09-29,100606445,92690
982,2022-09-30,100640896,34451
983,2022-10-01,100649786,8890
984,2022-10-02,100656268,6482
985,2022-10-03,100700164,43896
986,2022-10-04,100759866,59702
987,2022-10-05,100832328,72462
988,2022-10-06,100901850,69522
989,2022-10-07,100963477,61627
990,2022-10-08,100972251,8774
991,2022-10-09,100978522,6271
992,2022-10-10,101002308,23786
993,2022-10-11,101066590,64282
994,2022-10-12,101135127,68537
995,2022-10-13,101207859,72732
996,2022-10-14,101240191,32332
997,2022-10-15,101247301,7110
998,2022-10-16,101254819,7518
999,2022-10-17,101294411,39592
1000,2022-10-18,101341708,47297
1001,2022-10-19,101404876,63168
1002,2022-10-20,101471170,66294
1003,2022-10-21,101520108,48938
1004,2022-10-22,101526357,6249
1005,2022-10-23,101535574,9217
1006,2022-10-24,101576314,40740
1007,2022-10-25,101624201,47887
1008,2022-10-26,101698061,73860
1009,2022-10-27,101766096,68035
1010,2022-10-28,101801149,35053
1011,2022-10-29,101811092,9943
1012,2022-10-30,101815081,3989
1013,2022-10-31,101860611,45530
1014,2022-11-01,101912918,52307
1015,2022-11-02,101989530,76612
1016,2022-11-03,102068984,79454
1017,2022-11-04,102109099,40115
1018,2022-11-05,102114400,5301
1019,2022-11-06,102122531,8131
1020,2022-11-07,102166942,44411
1021,2022-11-08,102201281,34339
1022,2022-11-09,102300631,99350
1023,2022-11-10,102374648,74017
1024,2022-11-11,102388912,14264
1025,2022-11-12,102394864,5952
1026,2022-11-13,102398024,3160
1027,2022-11-14,102448957,50933
1028,2022-11-15,102513785,64828
1029,2022-11-16,102601048,87263
1030,2022-11-17,102661147,60099
1031,2022-11-18,102717748,56601
1032,2022-11-19,102723425,5677
1033,2022-11-20,102727958,4533
1034,2022-11-21,102774298,46340
1035,2022-11-22,102832069,57771
1036,2022-11-23,102948189,116120
1037,2022-11-24,102966182,17993
1038,2022-11-25,102989819,23637
1039,2022-11-26,102993120,3301
1040,2022-11-27,102999070,5950
1041,2022-11-28,103063412,64342
1042,2022-11-29,103131420,68008
1043,2022-11-30,103245747,114327
1044,2022-12-01,103348771,103024
1045,2022-12-02,103413225,64454
1046,2022-12-03,103420350,7125
1047,2022-12-04,103425902,5552
1048,2022-12-05,103491799,65897
1049,2022-12-06,103586790,94991
1050,2022-12-07,103735078,148288
1051,2022-12-08,103839586,104508
1052,2022-12-09,103878032,38446
1053,2022-12-10,103886168,8136
1054,2022-12-11,103893288,7120
1055,2022-12-12,103955746,62458
1056,2022-12-13,104050797,95051
1057,2022-12-14,104201302,150505
1058,2022-12-15,104315654,114352
1059,2022-12-16,104371888,56234
1060,2022-12-17,104379735,7847
1061,2022-12-18,104386454,6719
1062,2022-12-19,104449328,62874
1063,2022-12-20,104533193,83865
1064,2022-12-21,104717671,184478
1065,2022-12-22,104822676,105005
1066,2022-12-23,104866243,43567
1067,2022-12-24,104872765,6522
1068,2022-12-25,104875979,3214
1069,2022-12-26,104890123,14144
1070,2022-12-27,105001826,111703
1071,2022-12-28,105116122,114296
1072,2022-12-29,105221333,105211
1073,2022-12-30,105261711,40378
1074,2022-12-31,105270475,8764
1075,2023-01-01,105275370,4895
1076,2023-01-02,105284137,8767
1077,2023-01-03,105374506,90369
1078,2023-01-04,105573793,199287
1079,2023-01-05,105716379,142586
1080,2023-01-06,105784982,68603
1081,2023-01-07,105791589,6607
1082,2023-01-08,105797854,6265
1083,2023-01-09,105844832,46978
1084,2023-01-10,105929540,84708
1085,2023-01-11,106070502,140962
1086,2023-01-12,106140205,69703
1087,2023-01-13,106174586,34381
1088,2023-01-14,106180384,5798
1089,2023-01-15,106183702,3318
1090,2023-01-16,106193964,10262
1091,2023-01-17,106276387,82423
1092,2023-01-18,106406473,130086
1093,2023-01-19,106503891,97418
1094,2023-01-20,106541731,37840
1095,2023-01-21,106547852,6121
1096,2023-01-22,106551458,3606
1097,2023-01-23,106585030,33572
1098,2023-01-24,106641823,56793
1099,2023-01-25,106745300,103477
1100,2023-01-26,106813842,68542
1101,2023-01-27,106831390,17548
1102,2023-01-28,106836400,5010
1103,2023-01-29,106840206,3806
1104,2023-01-30,106870719,30513
1105,2023-01-31,106926984,56265
1106,2023-02-01,107044665,117681
1107,2023-02-02,107130643,85978
1108,2023-02-03,107170094,39451
1109,2023-02-04,107174252,4158
1110,2023-02-05,107177178,2926
1111,2023-02-06,107203186,26008
1112,2023-02-07,107250691,47505
1113,2023-02-08,107335363,84672
1114,2023-02-09,107420367,85004
1115,2023-02-10,107434238,13871
1116,2023-02-11,107439141,4903
1117,2023-02-12,107442924,3783
1118,2023-02-13,107467578,24654
1119,2023-02-14,107516754,49176
1120,2023-02-15,107606760,90006
1121,2023-02-16,107673479,66719
1122,2023-02-17,107722293,48814
1123,2023-02-18,107725413,3120
1124,2023-02-19,107727279,1866
1125,2023-02-20,107731248,3969
1126,2023-02-21,107792594,61346
1127,2023-02-22,107903874,111280
1128,2023-02-23,107964845,60971
1129,2023-02-24,107978472,13627
1130,2023-02-25,107981670,3198
1131,2023-02-26,107983603,1933
1132,2023-02-27,108001857,18254
1133,2023-02-28,108046261,44404
1134,2023-03-01,108137667,91406
1135,2023-03-02,108198213,60546
1136,2023-03-03,108257732,59519
1137,2023-03-04,108260295,2563
1138,2023-03-05,108256726,-3569
1139,2023-03-06,108266967,10241
1140,2023-03-07,108303129,36162
1141,2023-03-08,108368825,65696
1142,2023-03-09,108419797,50972
